cellule ;largeur de bande;charge_CCE;charge_PRB;CQI;débit;NBR_UE;Trafic ;congested 
1;10;13,62811667;5;10,96071511;0,134373486;0,877257423;2,84E-05;0
2;10;67,18707238;90;7,732581998;0,224501342;7,479491531;0,720454574;0
3;10;78,52677682;61;7,693118082;0,226520851;16,63980058;1,617531896;0
4;10;3,518276868;5;9,264000297;0,244048685;0,99669967;6,44E-06;0
5;10;57,79328821;95;8,590487368;0,274155915;7,886607144;0,927138567;0
6;10;4,931690968;5;8,129534596;0,29462406;0,889399353;0,000183582;0
7;10;4,629115827;5;12,2893477;0,305502832;0,96875;1,92E-05;0
8;15;29,91777939;95;12,0202934;0,308930993;68,49748353;9,081031442;0
9;10;38,0979205;6;9,937885706;0,323499501;1,307250288;0,027609229;0
10;10;61,42133145;95;8,023760611;0,325709105;7,210629802;1,007261515;0
11;15;3,882409295;5;8,843699111;0,344827592;1;1,19E-06;0
12;10;54,35678019;95;10,61041128;0,356370896;7,217755545;1,102873564;0
13;10;59,17578179;94,33333333;8,316446303;0,359216928;8,142288134;1,249079227;0
14;10;55,6861479;94,83333333;7,476149812;0,399504989;7,894309819;1,350487828;0
15;10;60,85379084;89,83333333;6,790278682;0,411517143;14,26081998;2,496571779;0
16;10;70,5231415;77,16666667;7,715717974;0,420589209;3,593178901;0,462760806;0
17;10;44,9355376;91;9,816779881;0,422917038;5,026563148;0,866964459;0
18;10;51,75526743;94,5;8,70481289;0,426246434;7,067029312;1,287136078;0
19;10;63,50575238;88,83333333;7,121264543;0,441674799;15,22800898;2,878439188;0
20;10;57,48733142;93,33333333;7,07727512;0,451131612;16,97869578;3,287018061;0
21;10;4,834447163;5;7,695100208;0,457150817;0,990901572;0,000195861;0
22;15;3,853593877;5;12,14371107;0,467289716;1;5,96E-06;0
23;10;52,03169521;94,77777778;9,792400901;0,481866539;7,467817528;1,537135124;0
24;10;59,25304339;93,16666667;7,571542621;0,49212718;15,6929689;3,314055085;0
25;10;65,86229979;87,83333333;8,357692866;0,518274426;4,785203071;1,038783789;0
26;10;7,142473003;5;11,90458388;0,525159717;0,787497973;0,001214862;0
27;10;55,49496705;92,83333333;8,687513771;0,535799503;22,84403253;5,244904399;1
28;10;51,97737968;92,66666667;8,174218574;0,53611815;17,9592693;4,062395215;1
29;10;50,69392182;91,83333333;9,274753544;0,536327481;6,068485304;1,350035787;0
30;10;68,5721642;79,33333333;7,307759993;0,538955986;9,220324755;2,093104959;0
31;10;7,537905388;15;11,70182168;0,54141432;1,00644821;0,080781579;0
32;15;60,12623234;93,83333333;9,116947825;0,54322654;23,08746772;5,382122636;1
33;15;70,2026563;76;7,847741683;0,543918252;17,32600771;4,038771033;1
34;10;57,68674814;94,5;9,471485041;0,566417336;3,147629075;0,760183692;0
35;15;4,292284927;5;13,79528419;0,571428597;1;4,77E-07;0
36;10;64,46944212;91,66666667;8,846047987;0,574801028;4,697841419;1,153441548;0
37;15;52,94627279;93,66666667;7,206074081;0,57564944;19,79919414;4,867495418;1
38;10;50,79179459;88;12,44182907;0,57827431;4,486138871;1,030810595;0
39;10;76,77680623;63,16666667;8,455311089;0,578286588;12,69500718;3,14802444;0
40;10;55,35476954;89;6,413013142;0,583215952;7,524470576;1,366663456;0
41;10;56,62147346;90,66666667;9,201974555;0,585075259;3,876936274;0,930214405;0
42;10;50,0100614;90,5;8,515550279;0,594327867;4,766006231;1,161223054;0
43;10;59,11014903;87;7,300354441;0,59479177;11,03131084;2,77065289;0
44;10;56,77499931;94,33333333;9,990806073;0,597823977;3,640752118;0,928163886;0
45;10;57,7479259;90,66666667;8,371143174;0,609773993;13,72905659;3,558686376;0
46;10;61,10220081;90,83333333;7,474477135;0,613355458;11,93858722;3,131189346;0
47;10;4,520102158;5;14,9227855;0,613436997;0,997884344;9,86E-05;0
48;10;59,05643613;95;11,96196158;0,617058575;6,61795782;1,752141833;0
49;10;35,11502031;53,83333333;8,329460833;0,617814004;12,49305388;2,037477136;0
50;10;48,92488502;85,33333333;7,736803233;0,625326216;3,841002585;0,952230692;0
51;10;48,49990805;95;10,56156248;0,633027136;5,974722518;1,621041894;0
52;10;43,69101649;88,83333333;8,776145377;0,634348392;4,572036159;1,166439772;0
53;10;74,10895576;82,33333333;7,786672197;0,634652853;12,69777824;3,454108953;0
54;10;61,67680699;91,66666667;9,611617427;0,639698803;4,483839254;1,212437153;0
55;10;65,81303554;81,33333333;7,826308632;0,65686667;4,946530428;1,373543859;0
56;15;65,28979845;74,5;6,237442569;0,667673409;8,178959048;2,284049869;0
57;10;6,175092114;5,5;7,786175485;0,671232879;1;5,84E-05;0
58;10;54,98489742;93;6,930717526;0,678687036;10,51680956;3,024745703;0
59;10;55,54206983;91;10,71284129;0,68226409;4,132621895;1,157931328;0
60;10;30,78785483;68,55555556;9,586949874;0,686728776;2,444583612;0,38602674;0
61;10;40,97482409;87,5;7,212093148;0,6938591;2,823693467;0,76241684;0
62;10;66,24610784;82,5;6,710826209;0,70212698;6,879477578;2,025886416;0
63;10;25,27148437;55,33333333;14,48416406;0,703426778;1,057105388;0,163306117;0
64;10;3,517778236;5;5,236651915;0,707692325;0,984848485;1,10E-05;0
65;10;41,3550241;81,33333333;9,178601607;0,716681778;3,044253499;0,824128866;0
66;10;37,07167072;31,66666667;7,123781829;0,723269641;6,092761268;0,82854104;0
67;10;61,88107748;89;8,481750846;0,727927744;11,41507138;3,54641366;0
68;15;53,93462017;95;9,180660839;0,729396582;25,05246829;7,840719461;1
69;10;56,13992864;94,33333333;6,728827334;0,729594529;8,044540485;2,511760831;0
70;15;3,185868911;5;10,42595256;0,732142866;1;1,47E-05;0
71;15;4,386625992;6,333333333;10,91371525;0,732551098;1,000254745;0,000576854;0
72;10;68,56384512;77,5;7,636535452;0,733938694;8,804024993;2,727367163;0
73;10;5,698629456;5,166666667;13,96437244;0,734501123;0,974441466;0,000954747;0
74;15;55,06219686;93,16666667;8,434941423;0,735068917;19,29960092;6,078140259;1
75;10;4,572333954;5;7,5476072;0,748538017;1;1,53E-05;0
76;10;5,334936593;5,833333333;10,20808887;0,748683333;0,963123142;0,004829764;0
77;15;3,38104456;5,166666667;6,666508112;0,749521375;0,996779388;0,000107765;0
78;15;3,329237036;5,333333333;9,567953359;0,750211179;0,930555556;1,32E-05;0
79;10;56,67872273;93,66666667;8,102890484;0,751104355;13,95761545;4,490285754;1
80;10;54,56188097;88,33333333;9,939916567;0,753240347;3,445307758;1,043823481;0
81;15;61,54563511;86,16666667;7,586275634;0,753350377;15,46904056;4,971143961;1
